	nucleotide metabolism	metabolism of terpenoids and polyketides	glycan biosynthesis and metabolism	metabolism of other secondary metabolites	biosynthesis of other secondary metabolites	lipid metabolism	energy metabolism	metabolism of other amino acids	metabolism of cofactors and vitamins	xenobiotics biodegradation and metabolism	amino acid metabolism	carbohydrate metabolism
T2D-067	0.038496235538044564	0.02528421904174917	0.047879293497932275	0.0	0.06641962451937734	0.04341459599682689	0.12220097859197145	0.03387625420267346	0.0967610636576286	0.07494530398231392	0.18395904565218	0.2667633853193023
T2D-103	0.03661954845338497	0.025933654165629046	0.046151868279870195	4.46263918621952e-06	0.0665046091412312	0.04497235556373	0.12073471798140185	0.03301572865683296	0.09293578303122979	0.07142262103288384	0.169346738834577	0.2923579122200428
T2D-104	0.04356889419358988	0.025955842951685695	0.05191851596093245	4.71678234978001e-07	0.0740849954931923	0.04397372116490402	0.11421999518395462	0.03226686634500963	0.08607255675928237	0.06571158981552143	0.178542669779882	0.2836838806738106
T2D-043	0.04215133929217742	0.02602629830993026	0.04887752809381182	1.963470573783234e-05	0.06959423175426827	0.044006143019218215	0.1264285679903517	0.03281830772937809	0.09178745439534089	0.06716884574385798	0.1765812278456163	0.2745404211203112
T2D-105	0.04621731293998483	0.026771006893810467	0.047532339811174745	1.0739730432642488e-06	0.07344175928418437	0.04264601328152328	0.12634832619069483	0.032718666109528206	0.0844693437812296	0.06628312152418182	0.17619219554176094	0.2773788406688837
T2D-044	0.0397729267795282	0.024374023358854628	0.054686655429693	0.0	0.0670597622586122	0.03489014695155664	0.13124981242545292	0.03431865841565527	0.10388647985205722	0.05868920189371457	0.1697849928774915	0.28128733975738374
T2D-106	0.04748511323092921	0.029007178029874996	0.03900954726638805	2.261090342231211e-06	0.07944927019866985	0.04039937264293919	0.12201304841969941	0.036673806051960536	0.09498789257636289	0.05863805400825895	0.17865417257551078	0.27368028390906407
T2D-014	0.034843792195873566	0.026785910209541956	0.043222870588083294	0.0	0.06499979440259669	0.047009428245572575	0.11184163256563893	0.03588109478900951	0.08966163801852932	0.08633738690697419	0.16868771126392484	0.2907287408142552
T2D-068	0.03751381649660234	0.026972411206306217	0.05855585625398559	5.0201689559694715e-06	0.06573566254491013	0.04193176417222994	0.1217790958668394	0.03223807029448967	0.08907486204897389	0.06659831178095404	0.16952917425055922	0.29006595491519366
T2D-107	0.04350622316215459	0.026335157489135418	0.04844892901246234	2.7153283673765127e-06	0.07087245485661096	0.041474957235198326	0.12567587205722963	0.03248228092635623	0.09417401519586607	0.06470652587805126	0.17412395962658167	0.2781969092319862
T2D-069	0.04302498505064781	0.028053501838187594	0.04423441133600737	9.415194416366966e-07	0.07434726606801008	0.039661809118076	0.12707360234355464	0.03613958667622236	0.08813021948143238	0.05333319558354639	0.18007729553939436	0.28592318544547934
T2D-045	0.044221036583026535	0.027175742555423668	0.056383596287727177	3.042000212401641e-07	0.072154976318819	0.036653989857673396	0.12061339712343584	0.033434283129188516	0.09094149199538804	0.06260610169040128	0.16687042964669918	0.2889446506121961
T2D-070	0.03965491808593675	0.026217047819073316	0.051065503370383916	1.1591078814123684e-06	0.06811269721237989	0.04515497727093028	0.1250139827765282	0.03215902058973038	0.08994916582593394	0.07345658029881237	0.16747202590970006	0.28174292173270954
T2D-015	0.0419092410017589	0.02806431383938172	0.05188622492800252	4.493186158750181e-07	0.06899990253532787	0.04239249928828181	0.12357916739186836	0.03220062059874314	0.09142372110848103	0.07006484422442656	0.1732574053707919	0.27622161039432036
T2D-108	0.041447971650615444	0.02536899701551782	0.05003184386025777	1.3918107013776582e-06	0.06977174575738575	0.041983241884535304	0.12674363486533397	0.03169668868504732	0.09314888706322424	0.06514866067108517	0.17345598131568854	0.2812009554206072
CON-016	0.03837403697399334	0.02898645700980932	0.048892315581141176	6.357611577106322e-06	0.07210069634212	0.04066609467760754	0.11754606030800514	0.03078317447115931	0.09834893333275571	0.06670482918680362	0.17962210667616796	0.2779689378288598
CON-032	0.04473720437634394	0.026021181324796108	0.05208160675433396	1.1284785321394878e-06	0.07162157146923778	0.04058591892200437	0.13092829134107486	0.033473177663151034	0.09104183834290537	0.06633111890336613	0.17057065829279236	0.27260630413146186
